model,concurrency,condition,median_ttft_ms,median_itl_ms,ttft_over_normal,itl_over_normal,itl_over_offload12_percent,gpu_memory_utilization
llama,4,cpu_offload12,4182.963515000665,1391.507748499862,66.28217149606992,67.67240060935086,100.0,
llama,4,gpu_only_loaded,96.55617049975262,28.81270699981542,1.5300044165141022,1.4012319031880334,2.070610604279957,
llama,4,gpu_only_normal,63.10842600032629,20.562411499668087,1.0,1.0,1.4777072942522769,
llama,4,kv_vram_pressure,292.8191364990198,21.219194000877906,4.6399372485934895,1.031940927805108,1.52490663625507,0.75
llama,8,cpu_offload12,3341.61665099964,1399.351070499506,50.97220851690346,66.64190901058556,100.0,
llama,8,gpu_only_loaded,96.06933500072046,29.45454900054756,1.4654182951452805,1.40272688950147,2.104872009711873,
llama,8,gpu_only_normal,65.55761949948646,20.99806400019588,1.0,1.0,1.5005572542064447,
llama,8,kv_vram_pressure,494.4743939995533,22.72369999991497,7.542592268827374,1.0821807191226294,1.6238741284418086,0.75
qwen,4,cpu_offload12,4233.571337501417,1481.8563309981982,70.15507884977974,75.93725073865829,100.0,
qwen,4,gpu_only_loaded,73.70043750051991,21.15741849775077,1.2212998416518377,1.0842051012895262,1.4277644907383733,
qwen,4,gpu_only_normal,60.34589949740621,19.51422149977589,1.0,1.0,1.316876750570742,
qwen,4,kv_vram_pressure,279.8366659999374,20.139960500046072,4.637210951043415,1.032065793671419,1.359103448745232,0.65
qwen,8,cpu_offload12,5158.454628501204,1485.915916500744,72.19563674796515,74.6821771347797,100.0,
qwen,8,gpu_only_loaded,117.36674299936568,22.548826500496943,1.6426172863976387,1.1333046750432896,1.5175035309937508,
qwen,8,gpu_only_normal,71.45105799827434,19.89652650081553,1.0,1.0,1.3390075629360532,
qwen,8,kv_vram_pressure,455.41769950000344,20.644304499910504,6.373841231448281,1.03758334396028,1.3893319447392949,0.65
