model,concurrency,affine_intercept_ms,affine_slope_ms_per_gib,affine_r2,global_linear_intercept_ms,global_linear_slope_ms_per_gib,global_linear_r2,saturating_intercept_ms,saturating_slope_ms_per_gib,g_sat_gib,saturating_r2
llama,4,21.501050549264892,114.94302741146328,0.999973809188049,84.86147263767474,96.74375723713278,0.9673007829438188,21.501051036775483,114.9430273565594,12.657415214855414,0.999982532304422
llama,8,21.95325231109552,115.59679808761058,0.9999738526745259,85.6823885842419,97.29162064745147,0.9672909843132091,21.953252578327323,115.59679805713678,12.656978038124851,0.9999825606265509
qwen,4,33.93557430596185,121.82568391735084,0.9994845295767494,117.09707824644808,97.93886895572177,0.945911040753793,27.399266790223624,124.47133229762139,11.685504845629382,0.9998258781622623
qwen,8,34.65938523296925,122.19559847656528,0.9994677890446451,117.95167502008199,98.27121736750095,0.9460842458610925,28.149474482954112,124.83056271283647,11.690151809803242,0.999813095173737
