model,concurrency,loaded_over_normal_ttft,loaded_over_normal_itl,kv_over_normal_ttft,kv_over_normal_itl,offload12_over_normal_ttft,offload12_over_normal_itl,kv_over_offload12_itl_percent
llama,4,1.5300044165141022,1.4012319031880334,4.6399372485934895,1.031940927805108,66.28217149606992,67.67240060935086,1.52490663625507
llama,8,1.4654182951452805,1.40272688950147,7.542592268827374,1.0821807191226294,50.97220851690346,66.64190901058556,1.6238741284418086
qwen,4,1.2212998416518377,1.0842051012895262,4.637210951043415,1.032065793671419,70.15507884977974,75.93725073865829,1.359103448745232
qwen,8,1.6426172863976387,1.1333046750432896,6.373841231448281,1.03758334396028,72.19563674796515,74.6821771347797,1.3893319447392949
