model,concurrency,gpu_memory_utilization,kv_vram_median_itl_ms,kv_vram_median_ttft_ms,repeats,normal_median_itl_ms,normal_median_ttft_ms,offload12_median_itl_ms,offload12_median_ttft_ms,itl_ratio_kv_vram_over_normal,ttft_ratio_kv_vram_over_normal,itl_ratio_kv_vram_over_offload12,itl_percent_of_offload12
llama,4,0.75,21.219194000877906,292.8191364990198,3,20.562411499668087,63.10842600032629,1391.507748499862,4182.963515000665,1.031940927805108,4.6399372485934895,0.015249066362550702,1.52490663625507
llama,8,0.75,22.72369999991497,494.4743939995533,3,20.99806400019588,65.55761949948646,1399.351070499506,3341.61665099964,1.0821807191226294,7.542592268827374,0.016238741284418084,1.6238741284418083
qwen,4,0.65,20.139960500046072,279.8366659999374,3,19.51422149977589,60.34589949740621,1481.8563309981982,4233.571337501417,1.032065793671419,4.637210951043415,0.01359103448745232,1.359103448745232
qwen,8,0.65,20.644304499910504,455.4176995000034,3,19.89652650081553,71.45105799827434,1485.915916500744,5158.454628501204,1.03758334396028,6.37384123144828,0.013893319447392949,1.3893319447392949
