file_path,file_name,parent_dir,source_subdir,experiment_id,server_config_label,model_name,date,offload_gb,run_concurrency,run_id,request_idx,input_len,target_output_len,actual_output_len,ttft_s,ttft_ms,request_success,error_text,start_time,itl_count,itl_mean_ms,itl_median_ms,itl_std_ms,itl_min_ms,itl_max_ms,itl_sum_ms,itl_p95_ms,itl_p99_ms,decode_time_ms,first_4_itl_mean_ms,last_4_itl_mean_ms,tail_ratio_p99_over_median
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,10,256,64,64,0.10447692399975494,104.47692399975494,True,,3600.479776553,64,19.184641593753327,19.48786899993138,2.4528286807715087,0.0057100000958598685,21.950469999865163,1227.817062000213,19.71064650003882,20.578592710121477,1227.817062000213,14.34115275003478,19.479841500015027,1.055969367928014
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,11,256,64,64,0.10447091399964847,104.47091399964847,True,,3601.81221824,64,19.187575062503015,19.487523999941914,2.4223875504855497,0.006651000148849562,19.900509000308375,1228.004804000193,19.667603500170117,19.899267900254927,1228.004804000193,14.3458830000327,19.47618150006747,1.0211285897743725
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,12,256,64,64,0.10422646199958763,104.22646199958763,True,,3603.14484376,64,19.18433767188077,19.48120899987771,2.4415787737611137,0.00591000025451649,21.076760000141803,1227.7976110003692,19.791161000102875,20.43208100025822,1227.7976110003692,14.331400000060057,19.481604000020525,1.0488097017175104
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,13,256,64,64,0.10499119999985851,104.99119999985851,True,,3604.477153156,64,19.18494721875419,19.488689500121836,2.4567256728599856,0.00591000025451649,21.891060000143625,1227.836622000268,19.648694349984908,20.553977609997666,1227.836622000268,14.307724749983208,19.505959250068372,1.0546618647636194
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,14,256,64,64,0.10396299900003214,103.96299900003214,True,,3605.810254841,64,19.18917164061895,19.496213999900647,2.4204669092351905,0.006669999947916949,19.7797470000296,1228.106984999613,19.647852500111185,19.70207997002035,1228.106984999613,14.364562999958252,19.487876749963107,1.0105592793616622
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,15,256,64,64,0.10395576900009473,103.95576900009473,True,,3607.142492006,64,19.214938624998013,19.487863999756883,2.435786114532893,0.006490000032499665,20.951009999862436,1229.7560719998728,19.89514199972291,20.300502239738304,1229.7560719998728,14.367553000056432,19.502129249985956,1.0416997080845576
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,16,256,64,64,0.10535057299966866,105.35057299966866,True,,3608.47643628,64,19.190826500000924,19.495364499789503,2.422748829905575,0.006350000148813706,19.766566999805946,1228.2128960000591,19.648422999921422,19.714339369779736,1228.2128960000591,14.293837250079378,19.485168999949565,1.0112321505962403
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,17,256,64,64,0.10440186300002097,104.40186300002097,True,,3609.810245072,64,19.202347875001635,19.50410900008137,2.4246951376641834,0.005350000265025301,19.97148999998899,1228.9502640001047,19.648313849961596,19.956476470047164,1228.9502640001047,14.34391025009063,19.580065000013747,1.0231934445179682
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,18,256,64,64,0.10544066500006011,105.44066500006011,True,,3611.14377164,64,19.188598203122353,19.485784000153217,2.423174670813643,0.006049999683455098,19.978799000000436,1228.0702849998306,19.704343150101522,19.89405644004364,1228.0702849998306,14.25721449993489,19.521824499975082,1.020952322980036
data/raw/baseline/qwen/bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512/qwen_offload0_conc1_run1.json,qwen_offload0_conc1_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102547,0,1,1,19,256,64,64,0.10616686200000913,106.16686200000913,True,,3612.477502842,64,19.188711015623028,19.518509499903303,2.428782762627462,0.010549999842623947,20.15204100007395,1228.0775049998738,19.636213150033655,19.892415479989722,1228.0775049998738,14.163011000050574,19.567172499932894,1.0191564822143961
