model,condition,concurrency,run_no,median_itl_ms,p95_itl_ms,p99_itl_ms,itl_cv,itl_p99_over_median,n_itl_samples,median_ttft_ms,median_tpot_ms,ttft_over_itl_median,match_status,bg_label,reported_median_itl_ms,itl_unit_sanity_status,itl_unit_sanity_ratio,file
qwen,cpu_offload12,4,1,1481.9336469990958,1484.9637442510357,1499.222475809438,0.27987033826678853,1.0116663987253087,1280,8408.901798500665,1515.8928332936437,5.674276858163404,none,none,1481.9336469990958,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run1.json
qwen,cpu_offload12,4,2,1481.8563309981982,1484.6406311504325,1485.7718143905004,0.12643486822331818,1.002642282730381,1280,4233.571337501417,1481.9223339841371,2.8569377806346625,none,none,1481.8563309981982,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run2.json
qwen,cpu_offload12,4,3,1481.8453829993814,1484.5739676000449,1497.7794293987972,0.1260011924932855,1.0107528400616022,1280,4215.715735499543,1482.199190396834,2.844909316359697,none,none,1481.8453829993814,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run3.json
qwen,cpu_offload12,8,1,1485.915916500744,1488.965826452295,1490.2810913299982,0.12741644908035282,1.0029376997586337,1280,5158.454628501204,1486.4210852936392,3.47156563249494,none,none,1485.915916500744,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run1.json
qwen,cpu_offload12,8,2,1486.0354129996267,1488.5753934986496,1489.2774018980344,0.12741746481772123,1.0021816363661642,1280,5161.8797539995285,1486.4539422619093,3.4735913483919276,none,none,1486.0354129996267,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run2.json
qwen,cpu_offload12,8,3,1485.9095030005847,1488.3689992006111,1489.4315821172859,0.12741595466991143,1.0023703187237103,1280,5158.433791501011,1486.2392710476256,3.4715665934461564,none,none,1485.9095030005847,ok,1.0,data/raw/gpu_load_control/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run3.json
qwen,gpu_only_loaded,4,1,21.15741849775077,22.008349501084012,23.491683598185773,0.32288964541669407,1.1103284458207014,1280,72.52623100066558,21.415449317467548,3.427933847807368,not_reached_max_loaded,c32i256o256,21.15741849775077,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run1.json
qwen,gpu_only_loaded,4,2,21.104645000377786,22.082074050194933,23.250270599673968,0.14531066980844518,1.1016660360436186,1280,82.30780099984258,21.29472242063096,3.899985097990003,not_reached_max_loaded,c32i256o256,21.104645000377786,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run2.json
qwen,gpu_only_loaded,4,3,21.212346999163856,22.21847805139987,23.99904861154937,0.3252777784634251,1.1313716776599665,1280,73.70043750051991,21.393237809538807,3.4744122139537423,not_reached_max_loaded,c32i256o256,21.212346999163856,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run3.json
qwen,gpu_only_loaded,8,1,22.558327500519226,23.57069004992809,25.10671408894268,0.15970705972834814,1.1129687734325515,1280,117.36674299936567,22.63976152379843,5.202812265078793,not_reached_max_loaded,c64i256o256,22.558327500519226,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run1.json
qwen,gpu_only_loaded,8,2,22.548826500496943,23.364619549829513,26.41398822786869,0.16287997632685738,1.171412988045589,1280,115.14890850230586,22.58966742856645,5.106647501135731,not_reached_max_loaded,c64i256o256,22.548826500496943,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run2.json
qwen,gpu_only_loaded,8,3,22.51447399976314,23.417633000644855,25.520176901227387,0.16303738479621965,1.133500915966141,1280,117.61760100125684,22.575921960297922,5.22408833546341,not_reached_max_loaded,c64i256o256,22.51447399976314,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run3.json
