model,condition,concurrency,run_no,median_itl_ms,p95_itl_ms,p99_itl_ms,itl_cv,itl_p99_over_median,n_itl_samples,median_ttft_ms,median_tpot_ms,ttft_over_itl_median,match_status,bg_label,reported_median_itl_ms,itl_unit_sanity_status,itl_unit_sanity_ratio,file
llama,gpu_only_normal,4,1,20.550588999867614,20.956491550805367,21.176331299757294,0.12664237629449798,1.0304488742339069,1280,63.10842600032629,20.561645634924865,3.070881618075902,none,none,20.550588999867614,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run1.json
llama,gpu_only_normal,4,2,20.562411499668087,20.991625999158714,21.37126570014516,0.12663204347742177,1.0393365437944926,1280,62.95293849962036,20.574325325382926,3.061554258878465,none,none,20.562411499668087,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run2.json
llama,gpu_only_normal,4,3,20.570424499965156,20.84743549967243,21.385217700590147,0.12660896585774822,1.0396099361306992,1280,63.480386499577435,20.58374444446339,3.0860027463062303,none,none,20.570424499965156,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run3.json
llama,gpu_only_normal,8,1,20.998064000195882,21.492991000377515,22.323412491005,0.12765065213739457,1.0631176517414538,1280,65.50374050038954,21.048262325411855,3.1195133275038347,none,none,20.998064000195882,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run1.json
llama,gpu_only_normal,8,2,20.996582499719807,21.54797005086948,22.3048057993401,0.12777156918573648,1.0623064872408523,1280,65.63026499952684,21.0416492063381,3.1257593944349114,none,none,20.996582499719807,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run2.json
llama,gpu_only_normal,8,3,21.004646500841773,21.41572750042542,22.68919305028249,0.12778929203210193,1.0801987574212786,1280,65.55761949948646,21.049565888879734,3.121100823899093,none,none,21.004646500841773,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run3.json
llama,cpu_offload12,4,1,1391.507748499862,1393.5690093501762,3590.89414591037,0.2152436112769934,2.5805779017627413,1280,8222.15955250067,1426.408012309525,5.908813343917565,none,none,1391.507748499862,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run1.json
llama,cpu_offload12,4,2,1391.515846999937,1393.0131481002718,1394.2342324089805,0.12599234082636335,1.001953542544919,1280,4182.963515000665,1391.5649486428567,3.0060480619167933,none,none,1391.515846999937,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run2.json
llama,cpu_offload12,4,3,1391.4654820000578,1392.9797652498564,1394.28465682995,0.13078002177173248,1.0020260472619416,1280,3342.711612500352,1391.4739836269755,2.40229574915191,none,none,1391.4654820000578,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run3.json
llama,cpu_offload12,8,1,1399.3636305003747,1401.6870514989932,1402.8729509805453,0.12964548181823685,1.00250779740425,1280,3342.5459895006497,1399.6162687777717,2.3886185953721304,none,none,1399.3636305003747,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run1.json
llama,cpu_offload12,8,2,1399.351070499506,1401.5623581498403,1402.2996027605768,0.12964831242103508,1.0021070711440685,1280,3340.9054730000207,1399.756992309521,2.3874676937271118,none,none,1399.351070499506,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run2.json
llama,cpu_offload12,8,3,1399.2983144999016,1401.184707000266,1402.4723263393207,0.12964344405075626,1.0022682881888223,1280,3341.61665099964,1399.5733741587376,2.388065944461534,none,none,1399.2983144999016,ok,1.0,data/raw/gpu_load_control/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run3.json
llama,gpu_only_loaded,4,1,28.765239499080053,30.364891999579413,31.20065442062696,0.206643011129212,1.08466520578161,1280,96.55617049975262,28.78781812697049,3.356696213248654,not_reached_max_loaded,c64i256o256,28.765239499080053,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run1.json
llama,gpu_only_loaded,4,2,28.81270699981542,30.32725705043049,30.94630220986801,0.20913348641438942,1.074050494806554,1280,96.3188124997032,28.85403086508184,3.342928260795497,not_reached_max_loaded,c64i256o256,28.81270699981542,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run2.json
llama,gpu_only_loaded,4,3,28.814404000513605,30.34937154961881,30.798178330878734,0.20617629681341249,1.0688466202642877,1280,98.2320194998465,28.78499314286432,3.409128972374218,not_reached_max_loaded,c64i256o256,28.814404000513605,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run3.json
llama,gpu_only_loaded,8,1,29.45454900054756,30.19141945078445,31.804150719926838,0.12912916147957815,1.0797704191408803,1280,105.90708500058099,29.559696587302682,3.595610477641745,not_reached_max_loaded,c64i256o256,29.45454900054756,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run1.json
llama,gpu_only_loaded,8,2,29.171413999392826,30.360304498572077,31.00727112045206,0.12854069700878448,1.0629334293187656,1280,92.9307605001668,29.446074269828156,3.185678983613926,not_reached_max_loaded,c64i256o256,29.171413999392826,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run2.json
llama,gpu_only_loaded,8,3,29.495656001017778,30.181690149311173,31.36267538924585,0.12843805907792444,1.0632981137345665,1280,96.06933500072046,29.569768920636204,3.2570672439835033,not_reached_max_loaded,c64i256o256,29.495656001017778,ok,1.0,data/raw/gpu_load_control/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run3.json
qwen,gpu_only_normal,4,1,19.428850000622333,19.826249051220657,20.13832589942467,0.12684284723785383,1.0365166182650858,1280,60.55446999926062,19.44569641267345,3.1167295026376225,none,none,19.428850000622333,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run1.json
qwen,gpu_only_normal,4,2,19.514221499775886,19.876566050152178,20.32473361017765,0.1269838868506543,1.0415344322299034,1280,60.34589949740621,19.524275095208726,3.092406197095757,none,none,19.514221499775886,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run2.json
qwen,gpu_only_normal,4,3,19.531644999005948,19.814427500932652,20.4032854205434,0.12704165258366007,1.0446270870467804,1280,60.00428450170148,19.55556139682091,3.072157235335547,none,none,19.531644999005948,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run3.json
qwen,gpu_only_normal,8,1,19.905373999790754,20.335950998014596,21.456058708681667,0.12985805504878006,1.0779028170436393,1280,71.4924029980466,19.994431555575815,3.591613149232872,none,none,19.905373999790754,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run1.json
qwen,gpu_only_normal,8,2,19.882286998836207,20.376616499379452,20.844451202028722,0.1296103650525308,1.0483930346266923,1280,71.45105799827434,19.950195333328182,3.5937041851602216,none,none,19.882286998836207,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run2.json
qwen,gpu_only_normal,8,3,19.896526500815526,20.43368450104026,21.076953200499702,0.12975633841185238,1.059328280221967,1280,71.28800849932304,19.95397480953086,3.5829373783610454,none,none,19.896526500815526,ok,1.0,data/raw/gpu_load_control/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run3.json
