model,probe_concurrency,run_no,bg_label,bg_concurrency,bg_input_len,bg_output_len,failed,valid,median_itl_ms,has_shape_data
llama,4,1,c16i256o256,16,256,256,0,True,20.579404500495002,True
llama,4,1,c32i256o256,32,256,256,0,True,26.892427000348107,True
llama,4,1,c64i256o256,64,256,256,0,True,29.05860999999277,True
llama,4,1,c8i256o256,8,256,256,0,True,22.578332999728445,True
llama,8,1,c16i256o256,16,256,256,0,True,21.077112999591918,True
llama,8,1,c32i256o256,32,256,256,0,True,21.076793000247562,True
llama,8,1,c64i256o256,64,256,256,0,True,29.627713000081712,True
llama,8,1,c8i256o256,8,256,256,0,True,22.84701299868175,True
qwen,4,1,c16i256o256,16,256,256,0,True,19.569532998502837,True
qwen,4,1,c32i256o256,32,256,256,0,True,21.237652499621618,True
qwen,4,1,c64i256o256,64,256,256,0,True,19.850523001878173,True
qwen,4,1,c8i256o256,8,256,256,0,True,20.50741399943945,True
qwen,8,1,c16i256o256,16,256,256,0,True,19.940261001465842,True
qwen,8,1,c32i256o256,32,256,256,0,True,20.243276501787477,True
qwen,8,1,c64i256o256,64,256,256,0,True,22.57574199938972,True
qwen,8,1,c8i256o256,8,256,256,0,True,20.81431400074507,True
