model,condition,concurrency,median_itl_ms,p95_itl_ms,p99_itl_ms,itl_cv,itl_p99_over_median,median_ttft_ms,ttft_over_itl_median,n_repeats,conc8_vs_conc4_difference_ms
llama,cpu_offload12,4,1391.507748499862,1393.0131481002718,1394.28465682995,0.13078002177173248,1.0020260472619416,4182.963515000665,3.0060480619167933,3,7.843321999644104
llama,cpu_offload12,8,1399.351070499506,1401.5623581498403,1402.4723263393207,0.12964548181823685,1.0022682881888223,3341.61665099964,2.388065944461534,3,7.843321999644104
llama,gpu_only_loaded,4,28.81270699981542,30.34937154961881,30.94630220986801,0.206643011129212,1.074050494806554,96.55617049975262,3.356696213248654,3,0.6418420007321401
llama,gpu_only_loaded,8,29.45454900054756,30.19141945078445,31.36267538924585,0.12854069700878448,1.0632981137345665,96.06933500072046,3.2570672439835033,3,0.6418420007321401
llama,gpu_only_normal,4,20.562411499668087,20.956491550805367,21.37126570014516,0.12663204347742177,1.0393365437944926,63.10842600032629,3.070881618075902,3,0.4356525005277945
llama,gpu_only_normal,8,20.998064000195882,21.492991000377515,22.323412491005,0.12777156918573648,1.0631176517414538,65.55761949948646,3.121100823899093,3,0.4356525005277945
qwen,cpu_offload12,4,1481.8563309981982,1484.6406311504325,1497.7794293987972,0.12643486822331818,1.0107528400616022,4233.571337501417,2.8569377806346625,3,4.059585502545815
qwen,cpu_offload12,8,1485.915916500744,1488.5753934986496,1489.4315821172859,0.12741644908035282,1.0023703187237103,5158.454628501204,3.4715665934461564,3,4.059585502545815
qwen,gpu_only_loaded,4,21.15741849775077,22.082074050194933,23.491683598185773,0.32288964541669407,1.1103284458207014,73.70043750051991,3.4744122139537423,3,1.391408002746175
qwen,gpu_only_loaded,8,22.548826500496943,23.417633000644855,25.520176901227387,0.16287997632685738,1.133500915966141,117.36674299936567,5.202812265078793,3,1.391408002746175
qwen,gpu_only_normal,4,19.514221499775886,19.826249051220657,20.32473361017765,0.1269838868506543,1.0415344322299034,60.34589949740621,3.092406197095757,3,0.38230500103964005
qwen,gpu_only_normal,8,19.896526500815526,20.376616499379452,21.076953200499702,0.12975633841185238,1.059328280221967,71.45105799827434,3.591613149232872,3,0.38230500103964005
