analysis,model,feature_set,profile,held_out_repeat,n_train,n_test,accuracy,balanced_accuracy,held_out_concurrency
within_profile_leave_one_repeat_out,llama,decode,128/32,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,128/32,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,128/32,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,128/32,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,128/32,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,128/32,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,256/64,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,256/64,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,256/64,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,256/64,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,256/64,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,256/64,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,512/128,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,512/128,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,decode,512/128,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,512/128,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,512/128,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,llama,all3,512/128,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,128/32,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,128/32,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,128/32,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,128/32,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,128/32,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,128/32,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,256/64,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,256/64,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,256/64,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,256/64,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,256/64,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,256/64,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,512/128,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,512/128,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,decode,512/128,3.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,512/128,1.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,512/128,2.0,8,4,1.0,1.0,
within_profile_leave_one_repeat_out,qwen,all3,512/128,3.0,8,4,1.0,1.0,
within_profile_leave_one_concurrency_out,llama,decode,128/32,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,decode,128/32,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,llama,all3,128/32,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,all3,128/32,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,llama,decode,256/64,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,decode,256/64,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,llama,all3,256/64,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,all3,256/64,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,llama,decode,512/128,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,decode,512/128,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,llama,all3,512/128,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,llama,all3,512/128,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,decode,128/32,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,decode,128/32,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,all3,128/32,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,all3,128/32,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,decode,256/64,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,decode,256/64,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,all3,256/64,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,all3,256/64,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,decode,512/128,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,decode,512/128,,6,6,1.0,1.0,8.0
within_profile_leave_one_concurrency_out,qwen,all3,512/128,,6,6,1.0,1.0,4.0
within_profile_leave_one_concurrency_out,qwen,all3,512/128,,6,6,1.0,1.0,8.0
