model,profile,concurrency,metric,offload0_median,offload12_median,ratio_12_over_0,log_ratio
llama,128/32,4,median_tpot_ms,20.391272016123335,1400.373197096762,68.67512708326826,4.2293870824822575
llama,128/32,4,median_itl_ms,20.352202999674773,1400.2576140010206,68.80127984294361,4.231222347134643
llama,128/32,4,median_ttft_ms,62.4679800002923,4209.287835499708,67.38312709135164,4.210394646687075
llama,128/32,8,median_tpot_ms,20.824438838703387,1408.5999961612729,67.64167846594314,4.214224338417106
llama,128/32,8,median_itl_ms,20.73255799950857,1408.3451190008418,67.92915370280042,4.2184653047537575
llama,128/32,8,median_ttft_ms,63.370594999469176,3326.982421000139,52.50041318103463,3.960821039681554
llama,256/64,4,median_tpot_ms,20.590630738095367,1400.4610248015929,68.01447913931827,4.219720611029433
llama,256/64,4,median_itl_ms,20.56431800065184,1400.4937705003613,68.10309831116057,4.221022708613345
llama,256/64,4,median_ttft_ms,62.68150500000047,3362.4420175001437,53.6432878805338,3.982356351846962
llama,256/64,8,median_tpot_ms,21.04405246824634,1409.0746010079451,66.9583295866667,4.20407047943437
llama,256/64,8,median_itl_ms,21.001354499276204,1408.8481514991145,67.0836803191751,4.205940800076939
llama,256/64,8,median_ttft_ms,65.37228399974992,3364.482553499329,51.4664984554035,3.9409310805636664
llama,512/128,4,median_tpot_ms,20.761122720471143,1400.632448303161,67.46419580296069,4.211597024600642
llama,512/128,4,median_itl_ms,20.722327499242965,1400.6627545004449,67.59196111303686,4.213489057531359
llama,512/128,4,median_ttft_ms,64.18005699924834,4211.264923998897,65.61640984594666,4.183825814758377
llama,512/128,8,median_tpot_ms,21.465901669288307,1409.452361948816,65.66005862056787,4.18449080486269
llama,512/128,8,median_itl_ms,21.4172915002564,1409.2456084999867,65.79943166404192,4.186611200969379
llama,512/128,8,median_ttft_ms,68.47832899984496,3362.3009975008245,49.1002196842221,3.893863509010875
qwen,128/32,4,median_tpot_ms,19.46673909677363,1480.0901417096495,76.0317449343612,4.3311509495801825
qwen,128/32,4,median_itl_ms,19.38400499994941,1484.5977395016234,76.58880295921807,4.338450890594744
qwen,128/32,4,median_ttft_ms,59.76913900002501,3891.654553499393,65.11143741752353,4.176100223760167
qwen,128/32,8,median_tpot_ms,19.681430322579686,1489.738850145166,75.69261104138609,4.326680547243274
qwen,128/32,8,median_itl_ms,19.62358750006388,1489.3574079978862,75.89628593614893,4.3293677495567175
qwen,128/32,8,median_ttft_ms,70.8597629999872,4234.912184998393,59.764695868361265,4.09041511652525
qwen,256/64,4,median_tpot_ms,19.43917064285765,1484.507088531765,76.36679135162608,4.335547933504447
qwen,256/64,4,median_itl_ms,19.416189999958533,1484.4453600017005,76.45399844175766,4.336689232403839
qwen,256/64,4,median_ttft_ms,60.06367600002704,4234.901596999407,70.50686669589622,4.255710105016947
qwen,256/64,8,median_tpot_ms,19.835905468253728,1489.8741643095173,75.1099649418061,4.318953238939804
qwen,256/64,8,median_itl_ms,19.78141249998089,1489.5547215000988,75.30072594672085,4.321489775486081
qwen,256/64,8,median_ttft_ms,70.60156049999478,5165.102208500684,73.1584708882046,4.292627922377565
qwen,512/128,4,median_tpot_ms,19.56620169685033,1484.6344576023732,75.8774994045657,4.329120189918708
qwen,512/128,4,median_itl_ms,19.550355999967906,1484.5177494989912,75.93302902010727,4.3298517547000746
qwen,512/128,4,median_ttft_ms,61.60233199994991,4236.507134499334,68.77186296296021,4.2307946927272235
qwen,512/128,8,median_tpot_ms,20.01095595275593,1490.1030003425185,74.4643586173753,4.310320603091515
qwen,512/128,8,median_itl_ms,19.96637749994079,1489.819409998745,74.61641001244031,4.312360456376233
qwen,512/128,8,median_ttft_ms,73.39190549998875,5165.07515900048,70.37663246120884,4.2538612827976925
